เลขทะเบียน,ชื่อเรื่อง,รหัสหนังสือ,ตู้เก็บ,หมายเหตุ,,ชื่อผู้แต่ง,ประเภท
001383,"เกิดเป็นกำมุ ชีวิตและหมู่บ้าน {Being Kammu : My Village and My Live} การเขียนวัฒนธรรมและวิถีชีวิตของชาวกำมุ จากมุมมองของ ""คนใน""",307.772,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ดำรง ทายานิน (เขียน) / ปราณี วงษ์เทศ (แปล),
001384,พระพิฆเนศ มหาเทพฮินดู ชมพูทวีปและอุษาคเนย์ {Genesha The Great Hindo God in India and Southeast Asia},294.5,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ไมเคิล ไรท์,
001385,พระอภิเนาว์นิเวศน์ พระราชนิเวศน์ในพระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว รัชกาลที่ 4 ,959.371,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,หม่อมราชวงศ์แน่งน้อย ศักดิ์ศรี,
001386,ประเพณี 12 เดือน ในประวัติศาสตร์สังคมวัฒนธรรม เพื่อความอยู่รอดของคน,392,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ปราณี วงษ์เทศ,
001387,"มุสลิมผู้นำ ""ปฐมจุฬาราชมนตรี"" คนแรกในสยาม (การเดินทางของท่านเฉกอะหมัด จาก เปอร์เซีย (อิหร่าน) ถึง สยาม (กรุงงศรีอยุธยา)",922,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,พิทยา บุนนาค,
001388,"อักษร ภาษา จารึก วรรณกรม รวมบทนิพนธ์ ""เสาหลักทางวิชาการ"" ของ ศาสตราจารย์ ดร.ประเสริฐ ณ นคร",410,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุจิตต์ วงษ์เทศ,
001389,พระภรรยาเจ้า และสมเด็จเจ้าฟ้า ในรัชกาลที่ 5,923.1,ชั้น 2,สำนักพิมพ์เมืองโบราณ,,นายแพทย์จิรวัฒน์ อุตตมะกุล,
001390,ข้ามขอบฟ้า 60 ปี ชิเกฮารุ ทานาเบ,928.953,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,ขวัญชีวัน บัวแดง,
001391,"พระบาทสมเด็จพระจุลจอมเกล้าฯ - เจ้าแผ่นดินสยาม ""สยามินทร์ปิ่นธเรศเจ้า จุลจอม จักรเอย""",923.1593,ชั้น 2,สำนักพิมพ์เมืองโบราณ,,ดร.ธิดา สาระยา,
001392,สืบค้นเรื่องไท(ย) : ความเป็นไปทางวัฒนธรรม,306.4,ชั้น 2,สถาบันไทยคดีศึกษา มหาวิทยาลัยธรรมศาสตร์,,รศ.ดร.ภัทรพร สิริกาญจน และคณะ,
001393,ทฤษฎี และวิธีวิทยา ของการวิจัยวัฒนธรรม การทะลุกรอบและกับดักของความคิดแบบคู่ตรงกันข้าม,301.74,ชั้น 2,สำนักพิมพ์อมรินทร์,,อานันท์ กาญจนพันธุ์,
001394,สมเด็จอินทร์,923.1,ชั้น 2,โครงการสร้างประวัติศาสตร์สังคมย่านเมืองเก่ากรุงเทพฯ,,ชุลิตา อารีย์พิพัฒน์กุล,
001395,"ไขศรี ศรีอรุณ จากคุณครู.....สู่คุณหญิง ""โชคชะตา"" เป็นเพียงโอกาสที่ผ่านมา และผ่านไป หากไร้การ ""ลงมือทำ""",923.2,ชั้น 2,คณะวิทยาการจัดการ มหาวิทยาลัยศิลปากร,,พรชัย เพชรปลอด,
001396,ส่วนหนึ่งของความทรงจำ 20 ปี 14 ตุลา : แลไปข้างหน้า 20 ปี 14 ตุลา,923.2,ชั้น 2,บริษัท สำนักพิมพ์วิญญูชน จำกัด,,ธีรยุทธ บุญมี,
001397,หลวงพ่อขี้หอม (เจ้าราชครูหลวงโพนสะเม็ก) พระสงฆ์ผู้นำชุมชนและการเมืองสองฝั่งโขง รวมเอกสารเก่าจากตำนาน ฯ,922.943,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุจิตต์ วงษ์เทศ,
001398,ประวัติศาสตร์ศิลปะไทย : การสังเขปประเด็นใหม่จากงานวิจัย,959,ชั้น 2,คณะโบราณคดี มหาวิทยาลัยศิลปากร,,ผู้ช่วยศจ.ดร.อธิรัชญ์ ไชยพจน์พานิช,
001399,ตามเส้นทางงานช่างโบราณ : ประวัติศาสตร์ศิลปะกับการท่องเที่ยว,745,ชั้น 2,คณะโบราณคดี มหาวิทยาลัยศิลปากร,,ศิริพจน์ เหล่ามานะเจริญ,
001400,ขอคุยกับ คุณอานันท์ * เนาวรัตน์ พงษ์ไพบูลย์ และคนอื่น ๆ,923.2,ชั้น 2,สำนักพิมพ์มติชน,,ประยงค์ คงเมือง,
001401,ศัพท์บัญญัติ เกี่ยวกับการแก้ปัญหา และ ความขัดแย้ง,303.603,ชั้น 2,สถาบันพระปกเกล้า,,ศ.นพ.วันชัย วัฒนศัพท์ และคณะ,
001402,ชื่อบ้านนามเมือง เมืองพระประแดง นครเขื่อนขันธ์ อำเภอพระประแดง จังหวัดสมุทรปราการ,959,ชั้น 2,สำนักงานคณะกรรมการวัฒนธรรมแห่งชาติ (สวช.),,สุจิตต์ วงษ์เทศ,
001403,นิราศเมืองแกลง ของ สุนทรภู่ ,923.1593,ชั้น 2,กองทุนสุนทรภู่  (เจ้าอาวาสวัดเทพธิดาราม),,สุจิตต์ วงษ์เทศ,
001404,สงกรานต์ ขึ้นฤดูกาลใหม่ (ปีใหม่) ของพราหมณ์สุวรรณภูมิ,394,ชั้น 2,โรงพิมพ์มติชน ปากเกร็ด,,สุจิตต์ วงษ์เทศ,
001405,พระพุทธเจ้าตรัสรู้อะไร พระบาทสมเด็จพระรามาธิบดีศรีสินทร์ มหาวชิราวุธ พระมงกุฎเกล้าเจ้าอยู่หัว ทรงพระราชนิพนธ์,294.361,ชั้น 2,กระทรวงวัฒนธรรม จัดพิมพ์,,อนุสรณ์ วงศ์วรรณ,
001406,จากสมุดบันทึก นายเรือตรีมงคล มงคลนาวิน สำหรับจดวิชาเบ๊ตเล็กต่าง ๆ,923.2,ชั้น 2,สงวนลิขสิทธิ์ โดย ดร.อุกฤษ มงคลนาวิน,,ดร.อุกฤษ - ท่านผู้หญิงมณฑินี มงคลนาวิน,
001407,"""มงคลนาวิน"" นามสกุลพระราชทาน ครบหนึ่งร้อยปี 14 ธันวาคม พุทธศักราช 1457 - 2557",923.2,ชั้น 2,สงวนลิขสิทธิ์ โดย ดร.อุกฤษ มงคลนาวิน,,ดร.อุกฤษ - ท่านผู้หญิงมณฑินี มงคลนาวิน,
001408,"""สุวรรณทัต"" นามสกุลพระราชทาน บรรจบหนึ่งร้อยปี 5/7/2556",923.2,ชั้น 2,ข้อมูล : เครือญาติสุวรรณทัต,,ศาสตราจารย์พิเศษธงทอง จันทรางศุ,
001409,"ชุดสังคม - วัฒนธรรมร่วมสมัย ลำดับที่ 3 ""มองคติชน เห็นตัวตนชาติพันธุ์""",341.482,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,ศิราพร ณ ถลาง,
001410,ว่าด้วยแนวทางการศึกษาชาติพันธุ์ เรื่อง ชาติ - ชาติพันธุ์,370.19,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,วิภาส ปรัชญาภรณ์,
001411,อาณานิคมทางปัญญา ในประชาธิปไตยไทย,320,ชั้น 2,มูลนิธิเล็ก - ประไพ วิริยะพันธุ์,,ศรีศักร วัลลิโภดม,
001412,รวมบทความ ทางสังคมวิทยาและมานุษยวิทยา ปี 2549 เนื่องในโอกาสเกษียณอายุราชการของ ศ.ดร.อมรา พงศาพิชญ์,30.1,ชั้น 2,คณะรัฐศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,,จุฑารัตน์ เอื้ออำนวย,
001413,วัฒนธรรมคือความหมาย ทฤษฎีและวิธีการของคลิฟฟอร์ด เกียร์ซ,306.31,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,อคิน รพีพัฒน์,
001414,ชาติพันธุ์กับการแพทย์,613,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,วิภาส ปรัชญาภรณ์,
001415,"หนังสือชุด ""นักคิดและความคิด"" ประวัติศาสตร์ของประวัติศาสตร์",959,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,จอห์น เอช อาร์โนลด์ (เขียน) / ไชยันต์ รัชชกุล (แปล),
001416,"หนังสือชุด ""นักคิดและความคิด"" หลังโครงสร้างนิยม ฉบับย่อ",190,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,แคทเธอรีน เบลซีย์ (เขียน) / อภิญญา เฟื่องฟูสกุล (แปล),
001417,สืบสายพันธุ์มนุษย์ การศึกษามานุษยวิทยากายภาพในประเทศไทย,120.11,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,สรรใจ แสงวิเชียร,
001418,การขุดค้นโบราณคดี  ณ วัดพระมหาธาตุวรมหาวิหาร นครศรีธรรมราช (คณะกรรมการนำเสนอวัดพระมหาธาตุวรมหาวาร เพื่อขึ้นบัญชีเป็นมรดกโลก),930.10283,ชั้น 2,กรมศิลปากร และ จังหวัดนครศรีธรรมราช จัดพิมพ์,,ภาณุวัฒน์ เอื้อสามาลย์,
001419,นิทรรศน์ตรัสรู้ (พุทธชยันตี 2600 ปี แห่งการตรัสรู้ พุทธศักราช 2555),294.33,ชั้น 2,หอจดหมายเหตุ พุทธทาส อินทปัญโญ จัดพิมพ์,,พุทธทาส อินทปัญโญ,
001420,เมืองอุไทยธานี เอกสารประวัติศาสตร์และโบราณคดีเมืองอุไทยธานี,959.3,ชั้น 2,สมาคมสื่อวัฒนธรรมและสิ่งแวดล้อม,,พลาดิศัย สิทธิธัญกิจ,
001421,รอยเหมือง สารคดีภาพเล่าเรื่องเหมืองแร่ในเมืองไทย,622.2,ชั้น 2,สำนักงานคณะกรรมการสุขภาพแห่งชาติ (สข.),,บำเพ็ญ ไชยรักษ์,
001422,สรรค์สร้างอย่างไทย ผลงานสร้างสรรค์สถาปัตยกรรมไทยฝีมือ วนิดา พึ่งสุนทร,720.15,ชั้น 2,คณะสถาปัตยกรรม มหาวิทยาลัยศิลปากร,,ศจ.อรศิริ ปาณินท์ และคณะ,
001423,สมุทรสงคราม ประวัติศาสตร์ ศิลปะ วัฒนธรรม,959.3,ชั้น 2,สำนักงานวัฒนธรรม จังหวัดสมุทรสงคราม,,สมศักดิ์ ทรัพย์ทวีพร และคณะ,
001424,60 ปี น้องใหม่จุฬาฯ รุ่นปี 2500,658.41,ชั้น 2,คณะสถาปัตยกรรม จุฬาลงกรณ์มหาวิทยาลัย,,สรรใจ แสงวิเชียร,
001425,60 ปี มูลนิธิเพื่อศูนย์กลางอิสลามแห่งประเทศไทย,922,ชั้น 2,สำนักงานมูลนิธิเพื่อศูนย์กลางอิสลามแห่งประเทศไทย,,เกรียงไกร วัชรปรียากร,
001426,99 ปี หอพระสมุดสำหรับพระนคร ตึกถาวรวัตถุ พ.ศ. 2558 หอสมุดปิยมหาราชรฦก (นิทรรศการเฉลิมพระเกียรติพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว),26.9231583,ชั้น 2,กรมศิลปากร จัดพิมพ์,,วงจันทร์ รอดจีน,
001427,ประวัติศาสตร์ เมืองสรรค์บุรี (ฉบับวิพากษ์) มหาวิทยาลัยราชภัฎจันทรเกษม - ชัยนาท 9/12/2553,959.3,ชั้น 2,มหาวิทยาลัยราชภัฎจันทรเกษม - ชัยนาท,,ธนพงศ์ มรรคผล,
001428,วัฒนธรรม วิถีชีวิตและภูมิปัญญา,306.411,ชั้น 2,กรมส่งเสริมวัฒนธรรม,,สุนันทา มิตรงาม,
001429,พระมหากรุณาธิคุณ พระบรมราชจักรีวงศ์ ต่อ สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,923.1,ชั้น 2,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,,รองรศ.วัชรา คลายนาทร,
001430,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา 5 แผ่นดิน ครบรอบ 118 ปี ,923.1,ชั้น 2,สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา,,นายแพทย์ปรีชา ศตวรรษธำรง,
001431,นักวิจัยชาวบ้าน,*011.12,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,อาทิตย์ เคนมี,
001432,สวัสดิการผู้สูงวัย ปลายทางชีวิตออกแบบได้,649.8,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,อาทิตย์ เคนมี,
001433,"""คนจนเมือง"" มนุษย์แปลกหน้าในนครเหลื่อมล้ำ",362.58,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,อาทิตย์ เคนมี,
001434,เมื่อคนพิการเป็นนักวิจัย,*011,ชั้น 2,สำนักงานกองทุนสนับสนุนการวิจัย (สกว.),,อาทิตย์ เคนมี,
001435,การค้าและการลงทุน ในกัมพูชา,959.6,ชั้น 2,สำนักพิมพ์มหาวิทยาลัยราชภัฏจันทรเกษม,,สุมาลี ไชยศุภรากุล และคณะ,
001436,หอจดหมายเหตุ และพิพิธภัณฑ์ระบบสุขภาพไทย,*021,ชั้น 2,สำนักบริหารหอจดหมายเหตุและพิพิธภัณฑ์ระบบสุขภาพไทย,,,
001437,พระบรมราชประวัติพระบาทสมเด็จพระจ้าวอยู่หัว ทั้ง 4 รัชกาล กรุงรัตนโกสินทร์ มีพระบรมรูป ทั้ง 4 พระองค์ด้วย คือ พระราชพงศาวดารกรุงรัตนโกสินทร์ 4 แผ่นดิน (2 เล่ม),929.7,ชั้น 2,พิพิธภัณฑสถานแห่งชาติ จังหวัดร้อยเอ็ด,,ก.ศ.ร. กุหลาบ,
001438,เอกสารของเฮนรี่ เบอร์นี่ เล่ม 2 ตอน 3 ,327.420593,ชั้น 2,กรมศิลปากร จัดพิมพ์,,น้อม นิลรัตน์ ณ อยุธยา (แปล),
001439,RDI ก้าวสู่บูรณาการองค์ความรู้ การวิจัยเพื่อการพัฒนาที่ยั่งยืน,*011.1,ชั้น 2,สถาบันวิจัยและพัฒนา มหาวิทยาลัยขอนแก่น,,ธนจักร เย็นบำรุง,
001440,พลวัต สังคมและวัฒนธรรมอนุภูมิภาคลุ่มน้ำโขง มุมมองจากนักมานุษยวิทยาชายขอบ,306,ชั้น 2,มหาวิทยาลัยอุบลราชธานี,,สมหมาย ชินนาค,
001441,ชุมชนกับการปกครองชีวญาณ : กลุ่มผู้ติดเชื้อเอชไอวี ในภาคเหนือของไทย,306.45,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,ชิเกฮารุ ทานาเบ,
001442,คลิตี้ สายน้ำ ชุมชน และพิษตะกั่ว (2 เล่ม),306,ชั้น 2,กลุ่มศึกษาและรณรงค์มลภาวะอุตสาหกรรม,,เกื้อเมธา ฤกษ์พรพิพัฒน์,
001443,ครอบมือ 2 (โครงการฟื้นฟู อนุรักษ์และสืบทอดมรดกศิลปวัฒนธรรมภาคใต้เพื่อการพัฒนา,306.4,ชั้น 2,มหาวิทยาลัยทักษิณ,,จรูญ หยูทอง,
001444,พิพิธภัณฑ์ ของคนธรรมดา,708,ชั้น 2,มูลนิธิเล็ก - ประไพ วิริยะพันธุ์,,วลัยลักษณ์ ทรงศิริ,
001445,ตลาดในชีวิต ชีวิตในตลาด,331.12,ชั้น 2,ศูนย์มานุษยวิทยาสิรินธร (องค์การมหาชน),,สมรักษ์ ชัยสิงห์กานานนท์,
001446,อัตลักษณ์ชุมชนริมน้ำ : แม่กลองและบางปะกง,307.14,ชั้น 2,คณะสถาปัตยกรรม จุฬาลงกรณ์มหาวิทยาลัย,,ศิริวรรณ ศิลาพัชรนันท์,
001447,7 ทศวรรษ ใต้ร่มพระบารมี พระบรมราโชวาทด้านการศึกษา,959.35,ชั้น 2,สำนักงานเลขาธิการสภาการศึกษา กระทรวงศึกษาธิการ,,กมล รอดคล้าย,
001448,ตราแผ่นดิน ตราราชสกุล และสกุลอักษรพระนาม และนามย่อ,929.81593,ชั้น 2,สงวนลิขสิทธิ์ ตามพระราชบัญญัติการคัดลอกฯ (สิรินธร),,วงจันทร์ พินัยนิติศาสตร์,
001449,พระราชหัตถ์เลขาส่วนพระองค์ สมเด็จพระรามาธิบดี ศรีสินทรมหาจุฬาลงกรณ์ พระจุลจอมเกล้าเจ้าอยุ๋หัว พ.ศ. 2440,959.373,ชั้น 2,โรงพิมพ์โสภณพิพรรฒธนากร,,,
001450,จดหมายเหตุ เสด็จพระราชดำเนินเลียบมณฑลฝ่ายเหนือ พระพุทธศักราช 2469 รัฐบาลของพระบาทสมเด็จพระเจ้าอยู่หัว พิมพ์เฉลิมพระเกียรติครบ 120 ปี รัชกาลที่ 7,*021,ชั้น 2,เรียบเรียงโดย : พระยาราชนุกูลวิบูลย์ภักดีพิริยะพาหะ (อวบ เปาโรหิตย์),,รองอำมาตย์ตรีกมล มโนชญากร,
001451,ปกิณกคดีประวัติศาสตร์ไทย เล่ม 3,959.3,ชั้น 2,กรมศิลปากร จัดพิมพ์,,สุทธิพันธ์ ขุทรานนท์,
001452,พระราชพงศาวดาร ฉบับพระราชหัตถเลขา เล่ม 1,959.3,ชั้น 2,กรมศิลปากร จัดพิมพ์,,กองวรรณคดีและประวัติศาสตร์,
001453,หนังสือชุดประชุมพงศาวดาร ฉบับกาญจนาภิเษก เล่ม 8,959.3,ชั้น 2,กองวรรณกรรมและประวัติศาสตร์ กรมศิลปากร,,สมศรี เอี่ยมธรรม,
001454,สารานุกรมไทยสำหรับเยาวชน โดย พระราชประสงค์ในพระบาทสมเด็จพระเจ้าอยู่หัว เล่ม 16,*030.15,ชั้น 2,โครงการสารานุกรมไทยสำหรับเยาวชน,,กำธน สินธวานนท์,
001455,ชิงบัลลังก์พระนารายณ์ ,959.33,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,นายพลเลส์ฟาร์จ (เขียน) / ปรีดี พิศภูมิวิถี (แปล),
001456,รัฐฉาน ประวัติศาสตร์และการปฎิวัติ,959.1,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,อัคนี มูลเมฆ,
001457,ชาติเสือไว้ลาย (ย้อนรอยเสือ ลุยชุมโจรสยาม คดีปล้นสะดม สมัยรัชกาลที่ 5),364.37,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,พีรศักดิ์ ชัยได้สุข,
001458,สยามประเทศ ภูมิหลังของประเทศไทยตั้งแต่ยุคดึกดำบรรพ์ จนถึงสมัยของกรุงศรีอยุธยาราชอาณาจักรสยาม,959.37,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ศรีศักร วัลลิโภดม,
001459,"สมเด็จฯกรมพระยาดำรงราชานุภาพ การสร้างอัตลักษณ์ ""เมืองไทย"" และ ""ชั้น"" ของชาวสยาม",959.35,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สายชล สัตยานุรักษ์,
001460,จากบางเจ้าพระยาสู่ปารีส,959.33,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ปรีดี พิศภูมิวิถี,
001461,การเมือง ในราชสำนักฝ่ายใน สมัยรัชกาลที่ 5,959.3057,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ฉัตรดาว ลีเชวงวงศ์,
001462,ตรุษสงกรานต์ ประมวลความเป็นมาของปีใหม่ไทยในสมัยต่าง ๆ,394.25,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ส.พลายน้อย,
001463,ถนนเส้นก๋วยเตี๋ยว มองประวัติศาสตร์สังคมบางขุนนนท์ ผ่านถนนและคลอง,959.3,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ยุวดี ศิริ,
001464,"ประวัติศาสตร์สังคมวัฒนธรรม กรุงเทพฯ จากเพลงดนตรี ""ลาวดวงเดือน"" วังท่าเตียน",781.63,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,มนตรี ตราโมท / จิตร ภูมิศักดิ์,
001465,เยือนย่านร้านตลาด {Visits to Memorable Places},915.9306,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,อเนก นาวิกมูล ,
001466,"""คนไท"" ไม่ใช่ ""คนไทย"" แต่เป็นเครือญาติชาติภาษา รวมความรู้ ""ไทยศึกษา"" ของ ""ศาตราจารย์สองแผ่นดิน""",*030.5,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,เจีย แยนจอง,
001467,สุริยาศศิธร ปฐมบทแห่งโลก มนุษย์ และเทวดา สุริยจันทรุปราคา และเมขลารามสูร,550.11,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ปรีดี พิศภูมิวิถี,
001468,ความคิดการเมือง ไพร่กระฎุมพี แห่งกรุงรัตนโกสินทร์,959.367,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,รศ.ดร.ธเนศ อาภรณ์สุวรรณ,
001469,เขียว สัมพัน : ประวัติศาสตร์กัมพูชา กับจุดยืนที่ผ่านมาของข้าพเจ้า,959.6,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,เขียว สัมพัน(เขียน) / อภิญญา ตะวันออก (แปล),
001470,สิ่งที่ข้าพเจ้าพบเห็น ประวัติศาสตร์เปลี่ยนแปลงการปกครอง 2475,959.377,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,หม่อมเจ้าพูนพิศสมัย ดิศกุล,
001471,ประวัติศาสตร์สังคม - วัฒนธรรม ของภาษาและวรรณคดี ในสยามประเทศ,495.91,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุจิตต์ วงษ์เทศ,
001472,"แหล่งโบราณคดียุคดึกดำบรรพ์ ที่ประตูผา จังหวัดลำปาง ""ภาพเขียนสี พิธีกรรม 3,000 ปี ที่ผาศักดิ์สิทธิ์""",294.34,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,วลัยลักษณ์ ทรงศิริ,
001473,"ยุคเหล็กในประเทศไทย พัฒนาการทางเทคโนโลยีและสังคม เหล็ก ""โลหปฎิวัติ"" เมื่อ 2,500 ปี มาแล้ว",546.621,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ศรีศักร วัลลิโภดม,
001474,"รัฐปัตตานี ใน ""ศรีวิชัย"" เก่าแก่กว่ารัฐสุโขทัยในประวัติศาสตร์ (ประวัติศาสตร์""ปกปิด"" ของ 3 จังหวัดชายแดนภาคใต้)",959.32,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุจิตต์ วงษ์เทศ,
001475,ค้นหารัตนโกสินทร์ สิ่งที่เรารู้ อาจไม่ใช่ทั้งหมด,959.36,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ไกรฤกษ์ นานา,
001476,ภาพถ่ายและสิ่งพิมพ์ {Good Old Photo and Printed Matters},779,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,อเนก นาวิกมูล,
001477,กรุงสุโขทัย มาจากไหน?,959.321,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุจิตต์ วงษ์เทศ,
001478,"การเมือง ""อุบายมารยา"" แบบมาคิอาเวลล์ {Macchiavell} ของ พระเจ้าปราสาททอง",959.337,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,สุจิตต์ วงษ์เทศ,
001479,คณะสงฆ์สร้างชาติ สมัยรัชกาลที่ 5,294.3013,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,ปฐม ตาคะนานันท์,
001480,การเมืองเรื่อง สถาปนาพระจอมเกล้าฯ,959.371,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,เทอดพงศ์ คงจันทร์,
001481,ต้นทางตลาดพลู เรื่องราวของสายน้ำ ผู้คน และแผ่นดิน (งานวิจัยวิถีวัฒนธรรมริมน้ำย่านตลาดพลู จากคลองบางหลวงถึงคลองด่าน,915.3011,ชั้น 2,ศูนย์หนังสือจุฬาลงกรณ์มหาวิทยาลัย,,สง่า ลือชาพัฒนพร,
001482,ศึกสองมหาราช (นวนิยายอิงประวัติศาสตร์),895.913,ชั้น 2,สำนักพิมพ์เอโนเวล,,สุกิจ สุวานิช,
001483,วังสวนดุสิต เมื่อพระพุทธเจ้าหลวงสร้างบ้านสร้างเมือง,728.82,ชั้น 2,ศิลปวัฒนธรรม (ฉบับพิเศษ),,บัณฑิต จุลาสัย และคณะ,
001484,"โครงการชุมชนท่องเที่ยวยั่งยืน ""บ้านบุฯ"" ในชุมชนบ้านบุและพื้นที่เกี่ยวเนื่อง",307.3364,ชั้น 2,คณะโบราณคดี มหาวิทยาลัยศิลปากร,,สุภาภรณ์ จินดามณีโรจน์,
001485,สมรภูมิศรัทธา การใช้อาวุธต่อสู้ของมุสลิมเพื่อป้องกันศาสนาและตนเอง (ญิฮาด) ,297,ชั้น 2,สำนักพิมพ์มติชน,,พ.อ.สุรินทร์ หิรัญูบูรณะ,
001486,ละครการเมือง 24 มิถุนายน 2475,320.9593,ชั้น 2,สมาคมประวัติศาสตร์ ในพระบรมราชูปถัมภ์ สมเด็จพระเทพรัตนราชสุดาฯ,,แถมสุข นุ่นนนท์,
001487,พระนครเมื่อกาลก่อน *เล่าเรื่องเมืองหลวงจาภาพถ่ายโบราณผ่านสู่ปัจจุบัน*,915.3011,ชั้น 2,สำนักพิมพ์ฐานบุ๊คส์,,ป.บุนนาค,
001488,กรุงเทพฯ กรุงธนฯ มีภูมิสถาน ชื่อบ้านนามเมือง,959,ชั้น 2,สำนักพิมพ์ดรีม แคทเชอร์,,รุ่งโรจน์ ภิรมย์อนุกูล / ประภัสสร์ ชูวิเชียร,
001489,เห่เรือ และ เรือพระราชพิธี มาจากไหน?,392,ชั้น 2,สำนักพิมพ์นาตาแฮก,,สุจิตต์ วงษ์เทศ,
001490,"ประวัติศาสตร์แห่งชาติ ""ซ่อม"" ฉบับเก่า ""สร้าง"" ฉบับใหม่ (ใคร ทำไม มาจากไหน)",959,ชั้น 2,KD Fund,,นิธิ เอียวศรีวงศ์,
001491,"""ห่าลง"" จีนถึงไทย ตายทั้งโลก Black Death",303.485,ชั้น 2,สำนักพิมพ์นาตาแฮก,,ศิริพจน์ เหล่ามานะเจริญ,
001492,"กรุงเทพฯ ""พื้นที่ทางวัฒนธรรม"" ของ มหานครบวรทวารวดีศรีอยุธยา ราชธานีจักรีวงศ์ ""พระราม"" จักรพรรคิราช",923,ชั้น 2,โครงการสถาบันสุวรรณภูมิ,,,
001493,ย้อนตำนาน.....สะพานเก่า (การเดินทาง เพื่อตามหาเรื่องราวเก่าแก่ในอดีต ของสิ่งก่อสร้าง ที่พาผู้คนข้ามผ่านวันเวลามายาวนาน),624.2,ชั้น 2,โครงการสร้างประวัติศาสตร์สังคมย่านเมืองเก่ากรุงเทพฯ,,"""จุติ""",
001494,บางเกาะ : บางกอก พัฒนาการทางสังคมและวัฒนธรรมลุ่มน้ำลำคลอง,*031.11,ชั้น 2,สถาบันพิพิธภัณฑ์การเรียนแห่งชาติ (สพร.),,ศรีศักร วัลลิโภดม,
