เลขทะเบียน,ชื่อเรื่อง,รหัสหนังสือ,ตู้เก็บ,หมายเหตุ,,ชื่อผู้แต่ง,ประเภท
001669,ย้อนรอยกรุงเก่า ณ กาญจนบุรี ,,ชั้น 2,จังหวัดกาญจนบุรี ,,"ฟ้อน เปรมพันธ์, สมชาย แสงชัยศรียากุล",
001670,เสน่ห์แห่งศรัทธาสะพานอุตตมานุสรณ์,,ชั้น 2,,,วสันต์ พันธุมกุล (บรรณาธิการ),
001671,กำแพงเพชร นครโบราณ อลังการศิลปกรรม,959.363,ชั้น 2,สำนักพิมพ์มติชน,,รองศาสตราจารย์ประภัสสร์ ชูวิเชียร,
001672,สยามาณานิคม มณฑลพายัพ ,,ชั้น 2,สำนักงานบริหารงานวิจัย มหาวิทยาลัยเชียงใหม่,,ภิญญพันธุ์ พจนะลาวัณย์,
001673,พวนเมืองพรหม เรื่องเล่าชีวิตชนบทของลูกพวนสิงห์บุรี,305.8950593,ชั้น 2,KnowledgePlus,,"สัมพันธ์ เรืองสกุล,นวพร เรืองสกุล",
001674,ด้ำ แถน กำเนิดรัฐไท,305.89591,ชั้น 2,ชนนิยม,,ชลธิรา สัตยาวัฒนา,
001675,จอมพล ป. พิบูลสงครามและท่านผู้หญิงละเอียดกับการเมืองไทยสมัยใหม่ ,,ชั้น 2,มูลนิธิโครงการตำราสังคมศาสตร์และมนุษยศาสตร์,,ชาญวิทย์ เกษตรศิริ,
001676,ยุคสมัยและกษัตริย์อย่างใหม่ในพระราชพิธีสิบสองเดือน,390.22,ชั้น 2,Illumination Editions,,คงสัจจา สุวรรณเพ็ชร (บรรณาธิการ),
001677,Getting Land Right ระบบกำกับดูแลที่ดินไทยต้องปฏิรูป,333.73,ชั้น 2,สำนักพิมพ์มติชน,,ผาสุก พงษ์ไพจิตร (บรรณาธิการ),
001678,ภูมิประวัติศาสตร์ในมุมมองหมอพยงค์,911,ชั้น 2,สำนักศิลปะและวัฒนธรรม มหาวิทยาลัยราชภัฏกาญจนบุรี ,,ฟ้อน เปรมพันธ์,
001679,คู่มือนำชม 33 พระอารามหลวงแห่งกรุงรัตนโกสินทร์,294.3135,ชั้น 2,สำนักพิมพ์เมืองโบราณ,,ศาสตราจารย์ ดร. ศักดิ์ชัย สายสิงห์,
001680,รอยทางเจริญธรรม,BQ940.จ74 ส46 2557,ชั้น 2,สำนักศิลปะและวัฒนธรรม มหาวิทยาลัยราชภัฏกาญจนบุรี ,,สมปอง ดวงไสว,
001681,ตลาดในกรุงเทพฯ การขยายตัวและพัฒนาการ 1 (สำเนา),[TAIC]35591,ชั้น 2,ฝ่ายวิจัย จุฬาลงกรณ์มหาวิทยาลัย,,เกียรติ จิวะกุล และคณะ,
001682,ตลาดในกรุงเทพฯ การขยายตัวและพัฒนาการ 2 (สำเนา),[TAIC]35591,ชั้น 2,ฝ่ายวิจัย จุฬาลงกรณ์มหาวิทยาลัย,,เกียรติ จิวะกุล และคณะ,
001683,คลองในกรุงเทพฯ (สำเนา) ,[TAIC]35589,ชั้น 2,ฝ่ายวิจัย จุฬาลงกรณ์มหาวิทยาลัย,,ปิยนาถ บุนนาค และคณะ,
001684,ต้นรากเพชรบุรี ยุคก่อนประวัติศาสตร์และยุคทวารวดี,,ชั้น 2,ศูนย์วิจัยสิงขร-มะริดศึกษา มหาวิทยาลัยราชภัฏเพชรบุรี,,ศูนย์วิจัยสิงขร-มะริดศึกษา มหาวิทยาลัยราชภัฏเพชรบุรี,
001685,ระหว่างหมอนรถไฟ ลมหายใจเส้นทางสายมรณะ,,ชั้น 2,สำนักศิลปะและวัฒนธรรม มหาวิทยาลัยราชภัฏกาญจนบุรี ,,ภราดร ศักดา,
001686,ระบบกำกับดูแลที่ดินไทยต้องปฏิรูป,,ชั้น 2,สำนักพิมพ์มติชน,,ผาสุก พงษ์ไพจิตร บรรณาธิการ,
001687,จิตรกรรมไทย สมัยรัชกาลที่ 3 ความคิดเปลี่ยนการแสดงออกก็เปลี่ยนตาม,759.593,ชั้น 2,สำนักพิมพ์เมืองโบราณ,,ศาสตราจารย์ ดร.สันติ เล็กสุขุม,
